"corp_id","corp_cn_name","secu_cd","secu_abbr","list_dt","end_list_dt","biz_prof_biz_total_ncm_rt","biz_cost_ncm_rt","recv_acc_tr","invt_tr","total_ast_rwrd_rate_ann","total_ast_prft_rate","nast_prft_rate_ann","ast_liab_rate","flow_rt","qr","biz_ncm_yoy_incr","ebitda","ebitda_liab_tot_rt","corp_id","crrc_fund","liab_tot","flow_liab_tot","st_brow","lt_brow","no_flow_ast_1y_inr_expr"
f2729fd6ca12f806adaae02548d006ee,中安科股份有限公司,"600654",ST中安,1990-12-19,,-0.524900,117.532600,4.852100,4.739000,-1.146400,-3.629700,-89.830100,97.999600,0.752700,0.726400,4.157900,14345100.310000,0.003200,f2729fd6ca12f806adaae02548d006ee,502468086.3300,4537054504.8200,3396038718.7500,239763030.4100,625870459.5700,
"07840c6a659d2cf8190ff392c63f1807",上海紫江企业集团股份有限公司,"600210",紫江企业,1999-08-24,,8.349100,92.530000,5.848300,3.648300,7.429000,5.174100,11.049700,49.160500,1.479000,1.005000,-8.612800,1236112948.220000,0.227200,"07840c6a659d2cf8190ff392c63f1807",1654535497.0800,5440393548.2200,3831367339.4900,1489190922.4700,1163616514.3200,
c986b329dd6c8d4fedbc6b3bd32e7a68,晶科电力科技股份有限公司,"601778",晶科科技,2020-05-19,,15.545000,93.018500,0.704300,20.666100,4.724100,1.615000,4.924100,61.946100,1.258400,1.240000,-32.879100,2429056450.620000,0.133800,c986b329dd6c8d4fedbc6b3bd32e7a68,2434873403.2100,18154435146.7600,8234080073.0900,1009399193.2400,2699866310.5900,6257698.0000
"89372f39522fa8dc538952e517bb502e",深圳市尚荣医疗股份有限公司,"002551",尚荣医疗,2011-02-25,,16.332200,83.865200,2.874800,4.864200,7.703700,3.315200,6.097700,27.975100,2.514400,2.183500,48.109800,435662557.970000,0.307700,"89372f39522fa8dc538952e517bb502e",1143265427.0400,1415907517.1100,1038460473.5800,138900000.0000,123900000.0000,40301738.1000
"598d83ab28acaceda5cbd6de794d0872",鲁西化工集团股份有限公司,"000830",鲁西化工,1998-08-07,,6.179900,94.401900,249.744800,9.676000,5.200800,2.657100,6.481400,54.866100,0.263500,0.128700,-3.374400,3548978033.520000,0.202900,"598d83ab28acaceda5cbd6de794d0872",363853904.6200,17488036671.2800,14031186325.7500,8272834027.4900,190000000.0000,
b21a165aa330f309f487f7aad3957f6f,沈阳金山能源股份有限公司,"600396",金山股份,2001-03-28,,0.083000,101.517800,7.179200,27.128000,3.385300,0.411100,3.935200,88.210600,0.266900,0.241700,-1.551400,1649205181.830000,0.091400,b21a165aa330f309f487f7aad3957f6f,1003978714.4100,18043267514.9800,10855429925.7700,7039883723.9300,5137684008.2100,
d50f9657a4efeabc46aab7f7a8d069a0,深圳市沃尔核材股份有限公司,"002130",沃尔核材,2007-04-20,,12.229800,89.165900,2.885100,5.414100,9.215400,5.937000,12.887100,48.516200,1.383300,1.169700,2.933400,843226555.230000,0.252200,d50f9657a4efeabc46aab7f7a8d069a0,639099698.2500,3343145664.6400,2240801773.8700,949590235.8300,373765665.2800,
"0870525a685561f1aba6737b8c73ba5f",奥瑞金科技股份有限公司,"002701",奥瑞金,2012-10-11,,10.308600,93.409900,4.138100,6.926600,9.732300,4.743600,11.485800,54.976200,0.957100,0.733800,12.721000,2032654609.000000,0.245000,"0870525a685561f1aba6737b8c73ba5f",1016802261.0000,8297852877.0000,5945383375.0000,2126477818.0000,1073626857.0000,
f30dfa82c947f61a6e7377e3c1932a96,上海大屯能源股份有限公司,"600508",上海能源,2001-08-29,,10.361800,89.661900,19.376900,17.067200,5.340100,4.003300,6.631400,38.464000,0.494700,0.419800,0.414200,1715821222.620000,0.266500,f30dfa82c947f61a6e7377e3c1932a96,597252605.2900,6438918027.0000,4325978134.9900,900000000.0000,460374300.0000,
b7f40aa879b4f9f0864d272a2c8ef87a,国城矿业股份有限公司,"000688",国城矿业,1997-01-20,,20.723000,79.789800,19.391400,11.060600,5.642500,4.721500,6.469000,32.235000,3.362000,3.264000,-11.068300,323181311.150000,0.281000,b7f40aa879b4f9f0864d272a2c8ef87a,834279959.4100,1150210382.5100,408466498.2100,,,
"7c7d1de00265a91124e33930ee401f1a",厦门象屿股份有限公司,"600057",厦门象屿,1997-06-04,,0.593600,99.383800,40.016800,17.292600,4.567900,1.697800,9.104900,69.656600,1.365400,0.949600,32.231800,4188065875.890000,0.068800,"7c7d1de00265a91124e33930ee401f1a",11636329740.3700,60855285840.8200,51422221563.7300,10133288774.0000,5275590359.6700,12961088.9000
"8a7e9cdf1fcbfdfcdb87c8c4327ffa40",山西焦煤能源集团股份有限公司,"000983",山西焦煤,2000-07-26,,9.267200,91.235500,18.946200,9.047400,5.575700,2.882800,9.989000,69.211900,0.464800,0.381200,-6.251300,6791381976.480000,0.139000,"8a7e9cdf1fcbfdfcdb87c8c4327ffa40",4986567023.9300,48870984680.6800,32559702578.2100,4904466805.5500,7559729528.3100,
"73729763b08d9c75dd9960bfc6a91c3f",中原环保股份有限公司,"000544",中原环保,1993-12-08,,28.972500,73.566500,5.169200,25.503200,5.254500,3.665100,8.100800,57.607700,0.940100,0.927500,23.568700,949688178.340000,0.101800,"73729763b08d9c75dd9960bfc6a91c3f",2599666616.6500,9325365146.7200,3974915767.7500,1164682288.7700,4022008901.0100,
"50b61dd15760433b41daf5e86aac6367",成都市路桥工程股份有限公司,"002628",成都路桥,2011-11-03,,5.109700,103.905700,4.182500,3.769900,2.751100,1.112900,2.891900,61.727200,1.342900,1.325400,-22.178500,212413817.600000,0.044500,"50b61dd15760433b41daf5e86aac6367",819623229.5700,4773394675.6500,2751179952.0600,200388888.8900,1740195143.4500,271470335.7800
d7c6d652fdfd7e46646f8042b3b28673,广东汕头超声电子股份有限公司,"000823",超声电子,1997-10-08,,8.106800,93.174000,3.287400,5.002000,6.604100,4.910300,8.362800,37.655300,2.269100,1.815500,6.751000,632888225.830000,0.243000,d7c6d652fdfd7e46646f8042b3b28673,1627568135.6700,2604376479.4800,1958809203.2900,413078970.6500,54000000.0000,
"9db1ea39b0dacc159a4787492eefd835",北京海兰信数据科技股份有限公司,"300065",海兰信,2010-03-26,,8.604600,94.235800,1.945000,3.436700,2.921800,2.228800,3.348800,43.956500,3.379900,3.059200,7.365900,113831239.480000,0.088700,"9db1ea39b0dacc159a4787492eefd835",1041282997.2800,1282928053.4000,586963746.9900,149625148.2500,71588000.0000,
c01809334e106f9043f3c6f6fd024e00,四川蓝光发展股份有限公司,"600466",蓝光发展,2001-02-12,,11.564000,89.522200,18.178200,0.222900,2.396500,1.435300,17.498000,82.035400,1.436300,0.419200,9.602800,5782374069.580000,0.027300,c01809334e106f9043f3c6f6fd024e00,29742746632.1800,211868064373.7700,166786844783.7200,6317198947.0000,28427785464.9800,38107365.2500
"17f1323bf68e9bbefbeffd2919b7ade3",山西蓝焰控股股份有限公司,"000968",蓝焰控股,2000-06-22,,8.555300,98.152200,1.000100,7.618500,2.578300,1.296800,2.851100,57.422000,0.853700,0.843300,-23.633700,606485388.580000,0.101000,"17f1323bf68e9bbefbeffd2919b7ade3",1774623201.7200,6004219260.2900,3995551066.5100,250270694.4400,943500000.0000,
