"corp_id","corp_cn_name","secu_cd","secu_abbr","list_dt","end_list_dt","biz_prof_biz_total_ncm_rt","biz_cost_ncm_rt","recv_acc_tr","invt_tr","total_ast_rwrd_rate_ann","total_ast_prft_rate","nast_prft_rate_ann","ast_liab_rate","flow_rt","qr","biz_ncm_yoy_incr","ebitda","ebitda_liab_tot_rt","corp_id","crrc_fund","liab_tot","flow_liab_tot","st_brow","lt_brow","no_flow_ast_1y_inr_expr"
"060996b42088531b53523fb24caa91dd",联创电子科技股份有限公司,"002036",联创电子,2004-09-03,,5.270500,95.040300,4.015600,4.668200,5.352900,3.856700,11.554200,66.794100,1.183600,0.857600,-4.988100,518796575.300000,0.113700,"060996b42088531b53523fb24caa91dd",844906232.8700,4562206231.8200,3208262774.3000,1624419185.0000,509271271.4500,
"2a3083a1728245d261d1db5135d3e83d",安源煤业集团股份有限公司,"600397",安源煤业,2002-07-02,,2.711700,97.861800,9.154400,29.584600,4.146500,0.936200,7.788300,88.680600,0.569600,0.531300,22.238500,464191750.440000,0.078600,"2a3083a1728245d261d1db5135d3e83d",910290355.5300,5904262070.4000,4332245425.9900,2283230000.0000,359950000.0000,
"2fc988f471bc5105365cfca75f922547",中国船舶重工集团动力股份有限公司,"600482",中国动力,2004-07-14,,5.836200,95.396800,2.749100,3.515900,3.634600,2.657900,5.182800,45.916300,1.846300,1.490900,7.810600,2644080656.240000,0.100700,"2fc988f471bc5105365cfca75f922547",13939729772.8300,26267859730.4200,22454752153.3900,9436740000.0000,1228174367.6100,
e20840d39a774f98dce6134718326819,北京北辰实业股份有限公司,"601588",北辰实业,2006-10-16,,15.707300,85.385900,206.909200,0.210400,3.879700,1.384200,8.552600,81.670300,1.655800,0.450600,15.576900,3472049229.000000,0.046300,e20840d39a774f98dce6134718326819,13756605779.0000,75050416145.0000,50112770615.0000,1100000000.0000,16365883345.0000,119114418.0000
a2752b87d18f202b996bc0b0a14ec25c,江苏苏博特新材料股份有限公司,"603916",苏博特,2017-11-10,,9.015200,92.229800,2.044600,8.717400,11.607700,8.564400,13.558500,40.771800,1.628100,1.483200,37.882700,440725708.080000,0.305800,a2752b87d18f202b996bc0b0a14ec25c,249441903.3700,1441199491.3400,1388523421.3400,825000000.0000,,
a6daf1cfdcaa8bdadc8da25d3a01c513,重药控股股份有限公司,"000950",重药控股,1999-09-16,,3.281600,97.674400,3.035600,9.467300,5.757800,3.910900,9.840500,59.693400,1.511900,1.258500,11.968700,1107180119.390000,0.092200,a6daf1cfdcaa8bdadc8da25d3a01c513,2547805240.2300,12007249608.8700,10848469768.5100,3099850044.9800,978400000.0000,103027960.3100
"7e77d55d3262fa97ab13cb6e27758f8d",人福医药集团股份公司,"600079",人福医药,1997-06-06,,-7.759800,110.626100,3.026400,3.817500,-2.330800,-6.657500,-19.356600,59.710100,1.038700,0.842400,20.641000,-251883454.280000,-0.011900,"7e77d55d3262fa97ab13cb6e27758f8d",3922902083.4400,21151352246.8100,16416379040.3100,5882727372.0800,3866501202.0100,
b2cec8158fd8569e3179fbe3d0d34d3f,九牧王股份有限公司,"601566",九牧王,2011-05-30,,24.362700,84.854100,16.653300,1.534900,10.588600,8.537300,10.931500,27.132800,1.757500,1.256000,6.552600,771715208.790000,0.467200,b2cec8158fd8569e3179fbe3d0d34d3f,499004125.3800,1651710808.9300,1607931534.2000,300000000.0000,,4027080.0000
d38710e1cd33fcb9e947d7d16dfa8505,江苏长青农化股份有限公司,"002391",长青股份,2010-04-16,,12.888400,87.536700,11.331200,2.803300,9.674500,8.089400,10.130700,19.549600,2.265300,1.177700,33.647500,582429597.180000,0.731500,d38710e1cd33fcb9e947d7d16dfa8505,346529107.3800,796166960.5600,773213510.1000,370042400.0000,,
e26587b6c9cab7113c2567c0b72c2fd1,江西洪城环境股份有限公司,"600461",洪城环境,2004-06-01,,12.319800,89.301700,7.701100,15.609000,7.308800,3.646000,9.968200,61.351500,0.587300,0.537000,23.519800,1086025681.400000,0.177300,e26587b6c9cab7113c2567c0b72c2fd1,1422471769.6400,6126799916.0000,4357890098.7400,1320444000.0000,1630330533.4200,
